# Pump power (dBm)	kappa (kHz)	depth (dB)
-9.000000000000000000e+00 1.178675855923744251e+02 -1.597226964823268958e+01
-8.000000000000000000e+00 1.176667793431198277e+02 -1.599444461027563769e+01
-7.000000000000000000e+00 1.167053640131337318e+02 -1.631155579123699084e+01
-6.000000000000000000e+00 1.160927873903541183e+02 -1.660915760036919053e+01
-5.000000000000000000e+00 1.152008220797600018e+02 -1.675382232354520440e+01
-4.000000000000000000e+00 1.140973149336318215e+02 -1.724816112155881598e+01
-3.000000000000000000e+00 1.127194986351170201e+02 -1.795033499968079127e+01
-2.000000000000000000e+00 1.110377007854078215e+02 -1.905755248090541798e+01
-1.000000000000000000e+00 1.087268119177736452e+02 -2.045080227214825896e+01
0.000000000000000000e+00 1.060700276200473269e+02 -2.304180711056760344e+01
1.000000000000000000e+00 1.028477177206297739e+02 -2.626240631916668633e+01
2.000000000000000000e+00 9.887172106822895046e+01 -3.147465990763064525e+01
3.000000000000000000e+00 9.380099766024635244e+01 -2.417713388351711501e+01
4.000000000000000000e+00 8.806730155009228156e+01 -1.875386672771012186e+01
5.000000000000000000e+00 8.103783894465324522e+01 -1.352457672557964941e+01
6.000000000000000000e+00 7.220735017202309791e+01 -9.242137668215011814e+00
7.000000000000000000e+00 6.200919442003834803e+01 -5.250244475248930343e+00
8.000000000000000000e+00 4.990769056760618128e+01 -1.548359131633615160e+00
9.000000000000000000e+00 3.570586610956072349e+01 4.539806579786044516e+00
1.000000000000000000e+01 1.964167944035508384e+01 1.133049115770213788e+01
# Pump power (dBm)	kappa (kHz)	depth (dB)
-9.500000000000000000e+00 1.235528712940220544e+02 -1.401180023856021428e+01
-9.000000000000000000e+00 1.232539223287177350e+02 -1.413784719675138568e+01
-8.500000000000000000e+00 1.233567598400614429e+02 -1.417064543825958189e+01
-8.000000000000000000e+00 1.233458879306096065e+02 -1.412068033323948058e+01
-7.500000000000000000e+00 1.231096039519035656e+02 -1.424450409006331597e+01
-7.000000000000000000e+00 1.231920049186190482e+02 -1.417221867370378519e+01
-6.500000000000000000e+00 1.229442710732830903e+02 -1.429631317419917735e+01
-6.000000000000000000e+00 1.229352637371915336e+02 -1.444535737791660601e+01
-5.500000000000000000e+00 1.228107574173065615e+02 -1.435726498673997220e+01
-5.000000000000000000e+00 1.232623192819734612e+02 -1.454947087142824103e+01
-4.500000000000000000e+00 1.231356931072881480e+02 -1.453423252718497238e+01
-4.000000000000000000e+00 1.232462378292846807e+02 -1.461838913613224555e+01
-3.500000000000000000e+00 1.232632755616568261e+02 -1.458517154016439221e+01
-3.000000000000000000e+00 1.234328645460659999e+02 -1.458251895115992980e+01
-2.500000000000000000e+00 1.236717765304219228e+02 -1.462598707571827106e+01
-2.000000000000000000e+00 1.238243811328727588e+02 -1.463276276337280635e+01
-1.500000000000000000e+00 1.238470809126851719e+02 -1.462493416236166155e+01
-1.000000000000000000e+00 1.244588755484330136e+02 -1.460112974101589600e+01
-5.000000000000000000e-01 1.249260227617011481e+02 -1.469333570372486797e+01
0.000000000000000000e+00 1.253124231632891679e+02 -1.458573611951553772e+01
5.000000000000000000e-01 1.260523165433619965e+02 -1.455978474422989066e+01
1.000000000000000000e+00 1.265564682960651197e+02 -1.464006572412451490e+01
1.500000000000000000e+00 1.273591670295979839e+02 -1.450955354517728679e+01
2.000000000000000000e+00 1.282933658128050638e+02 -1.452025508404810239e+01
2.500000000000000000e+00 1.293071698212460205e+02 -1.434335025446671352e+01
3.000000000000000000e+00 1.305094254297897578e+02 -1.438486432655503933e+01
3.500000000000000000e+00 1.319898873074037624e+02 -1.424915864637572227e+01
4.000000000000000000e+00 1.335037707648018568e+02 -1.409069167207305462e+01
4.500000000000000000e+00 1.351373050129226385e+02 -1.402762145095280744e+01
5.000000000000000000e+00 1.368451777684740875e+02 -1.362855459767670574e+01
5.500000000000000000e+00 1.395095451333411347e+02 -1.334568621139998967e+01
#6.000000000000000000e+00 1.410388520575180848e+02 -1.390762515411962674e+01
6.500000000000000000e+00 1.452535625093042313e+02 -1.264371030320155143e+01
7.000000000000000000e+00 1.486730457537819632e+02 -1.233163379434317974e+01
7.500000000000000000e+00 1.526304605844266860e+02 -1.193948321398508838e+01
8.000000000000000000e+00 1.571650417871072420e+02 -1.145828368893211824e+01
8.500000000000000000e+00 1.621747751599984610e+02 -1.096453058441154482e+01
9.000000000000000000e+00 1.684891090381099445e+02 -1.041681289861220883e+01
9.500000000000000000e+00 1.751582819983748038e+02 -9.914864824417774614e+00
1.000000000000000000e+01 1.833761759805001645e+02 -9.302556570377365830e+00
