# Filename: 031422_mechanical_damping_deltasweep_probe_5dBm.dat
# Timestamp: Sun Oct 25 03:14:22 2015

# Column 1:
#	name: Absolute probe frequency (GHz)
#	size: 0
#	type: coordinate
# Column 2:
#	name: Relative probe frequency detuning (MHz)
#	type: value
# Column 3:
#	name: Width of MWR (kHz)
#	type: value
# Column 4:
#	name: Resonant frequency shift of MWR (Hz)
#	type: value
# Column 5:
#	name: R2 of fit
#	type: value

4.250024149809e+09	-1.001262723935e+01	1.156388398650e+02	1.262723935369e+04	9.978503147996e-01
4.250224149809e+09	-9.812534461314e+00	1.155021004815e+02	1.253446131333e+04	9.978870287354e-01
4.250424149809e+09	-9.612084656655e+00	1.156927773964e+02	1.208465665403e+04	9.979002141964e-01
4.250624149809e+09	-9.412770021641e+00	1.153048068309e+02	1.277002164102e+04	9.978856231671e-01
4.250824149809e+09	-9.212550649205e+00	1.154465830822e+02	1.255064920525e+04	9.978539698162e-01
4.251024149809e+09	-9.012559915783e+00	1.156037992560e+02	1.255991578297e+04	9.979277249212e-01
4.251224149809e+09	-8.812428866725e+00	1.154368562567e+02	1.242886672514e+04	9.979297161610e-01
4.251424149809e+09	-8.612706162360e+00	1.156003170148e+02	1.270616235960e+04	9.979632397409e-01
4.251624149809e+09	-8.412446603345e+00	1.155394079971e+02	1.244660334443e+04	9.978804512571e-01
4.251824149809e+09	-8.212474901139e+00	1.155375503914e+02	1.247490113965e+04	9.980147786254e-01
4.252024149809e+09	-8.012503046995e+00	1.157787547036e+02	1.250304699507e+04	9.979887431988e-01
4.252224149809e+09	-7.812418680571e+00	1.153802286866e+02	1.241868057100e+04	9.980438142069e-01
4.252424149809e+09	-7.612355421825e+00	1.153789817703e+02	1.235542182432e+04	9.980124788386e-01
4.252624149809e+09	-7.412375253576e+00	1.154259226720e+02	1.237525357567e+04	9.979179710838e-01
4.252824149809e+09	-7.212393088421e+00	1.153460628438e+02	1.239308842127e+04	9.979025313800e-01
4.253024149809e+09	-7.012780197878e+00	1.151338613234e+02	1.278019787776e+04	9.979509120300e-01
4.253224149809e+09	-6.812654512734e+00	1.151279167686e+02	1.265451273458e+04	9.979727473246e-01
4.253424149809e+09	-6.612621557801e+00	1.153356647610e+02	1.262155780068e+04	9.979347244499e-01
4.253624149809e+09	-6.413080613870e+00	1.152127310568e+02	1.308061386940e+04	9.979957833145e-01
4.253824149809e+09	-6.213169561143e+00	1.153960464345e+02	1.316956114383e+04	9.979242486990e-01
4.254024149809e+09	-6.013298347066e+00	1.154323524597e+02	1.329834706620e+04	9.980186884681e-01
4.254224149809e+09	-5.813995823110e+00	1.157519903274e+02	1.399582311024e+04	9.979309218100e-01
4.254224149809e+09	-5.813996302039e+00	1.156773740778e+02	1.399630203913e+04	9.979477732025e-01
4.254236649809e+09	-5.801605389162e+00	1.155671047391e+02	1.410538916158e+04	9.977725372818e-01
4.254249149809e+09	-5.788970821628e+00	1.157608728297e+02	1.397082162757e+04	9.979898687913e-01
4.254261649809e+09	-5.776616802189e+00	1.158115134500e+02	1.411680218943e+04	9.978882908349e-01
4.254274149809e+09	-5.763990603274e+00	1.157760789158e+02	1.399060327412e+04	9.978777956464e-01
4.254286649809e+09	-5.751766089259e+00	1.158280620580e+02	1.426608925925e+04	9.978853666670e-01
4.254299149809e+09	-5.739379714903e+00	1.159603992135e+02	1.437971490326e+04	9.978630308176e-01
4.254311649809e+09	-5.726878723320e+00	1.164460202015e+02	1.437872331955e+04	9.978230430414e-01
4.254324149809e+09	-5.714787612925e+00	1.161067062905e+02	1.478761292528e+04	9.979553577095e-01
4.254336649809e+09	-5.701973910883e+00	1.161553604223e+02	1.447391088316e+04	9.979402853972e-01
4.254349149809e+09	-5.689779149639e+00	1.163691568045e+02	1.477914963921e+04	9.978671185639e-01
4.254361649809e+09	-5.677311787822e+00	1.162509619754e+02	1.481178782203e+04	9.978211761254e-01
4.254374149809e+09	-5.664980582023e+00	1.166425793662e+02	1.498058202287e+04	9.977803764615e-01
4.254386649809e+09	-5.652688090611e+00	1.166516162873e+02	1.518809061185e+04	9.978600827358e-01
4.254399149809e+09	-5.640142337066e+00	1.165979901345e+02	1.514233706601e+04	9.977847755290e-01
4.254411649809e+09	-5.628091032107e+00	1.171381375004e+02	1.559103210624e+04	9.978122033278e-01
4.254424149809e+09	-5.615589763007e+00	1.171136943554e+02	1.558976300675e+04	9.976864375789e-01
4.254424149809e+09	-5.615477992884e+00	1.171329425419e+02	1.547799288382e+04	9.977699865822e-01
4.254436649809e+09	-5.602912162387e+00	1.171447939644e+02	1.541216238632e+04	9.976926640596e-01
4.254449149809e+09	-5.590924550414e+00	1.173825378685e+02	1.592455041433e+04	9.975660634770e-01
4.254461649809e+09	-5.578575409138e+00	1.178252947302e+02	1.607540913895e+04	9.976821685391e-01
4.254474149809e+09	-5.566385210015e+00	1.180810755607e+02	1.638521001546e+04	9.977288295246e-01
4.254486649809e+09	-5.554262449291e+00	1.182466981007e+02	1.676244929083e+04	9.977253780873e-01
4.254499149809e+09	-5.541675348117e+00	1.185583055219e+02	1.667534811656e+04	9.976850424935e-01
4.254511649809e+09	-5.529391520892e+00	1.189005378380e+02	1.689152089224e+04	9.974841455962e-01
4.254524149809e+09	-5.517214122874e+00	1.193761978187e+02	1.721412287381e+04	9.974593012860e-01
4.254536649809e+09	-5.504843633100e+00	1.199865506886e+02	1.734363309946e+04	9.973547945209e-01
4.254549149809e+09	-5.492392436366e+00	1.201301053448e+02	1.739243636578e+04	9.974113676729e-01
