# Filename: 180731_vna_trace.dat
# Timestamp: Wed Jul 20 18:07:31 2016

# Column 1:
#	name: Frequency (GHz)
#	size: 0
#	type: coordinate
# Column 2:
#	name: Amplitude, 10log(|S|^2) (dB)
#	type: value
# Column 3:
#	name: Amplitude squared, |S|^2
#	type: value
# Column 4:
#	name: Phase
#	type: value
# Column 5:
#	name: Phase_unwrap
#	type: value
# Column 6:
#	name: Re(S)
#	type: value
# Column 7:
#	name: Im(S)
#	type: value

4.124682320000e+00	-4.569846644986e+01	2.692485387592e-05	1.972776045028e-02	1.972776045028e-02	5.187906755000e-03	1.023590609000e-04
4.124682420000e+00	-4.771779793950e+01	1.691298275507e-05	1.568848304662e-01	1.568848304662e-01	4.062032756000e-03	6.425516666000e-04
4.124682520000e+00	-5.234872306039e+01	5.822743965394e-06	-3.698745704561e-02	-3.698745704561e-02	2.411385839000e-03	-8.923172566000e-05
4.124682620000e+00	-5.014104421238e+01	9.680450726951e-06	1.864917438650e-01	1.864917438650e-01	3.057393948000e-03	5.768821142000e-04
4.124682720000e+00	-4.438730910762e+01	3.641405880683e-05	4.397541059044e-01	4.397541059044e-01	5.460270947000e-03	2.568949200000e-03
4.124682820000e+00	-4.720109750842e+01	1.904979248582e-05	2.151969240240e-01	2.151969240240e-01	4.263934356000e-03	9.320173247000e-04
4.124682920000e+00	-5.140664757898e+01	7.233279419674e-06	2.033859055219e-01	2.033859055219e-01	2.634040973000e-03	5.432380438000e-04
4.124683020000e+00	-4.874109771816e+01	1.336257722763e-05	4.008023675265e-01	4.008023675265e-01	3.365782220000e-03	1.426214316000e-03
4.124683120000e+00	-5.004733480369e+01	9.891599401888e-06	3.536326888514e-01	3.536326888514e-01	2.950475824000e-03	1.089170241000e-03
4.124683220000e+00	-5.393682305317e+01	4.039407752842e-06	6.344831613201e-01	6.344831613201e-01	1.618671421000e-03	1.191348221000e-03
4.124683320000e+00	-4.692329028523e+01	2.030817847519e-05	-2.365458161569e-02	-2.365458161569e-02	4.505198927000e-03	-1.065884766000e-04
4.124683420000e+00	-5.197576047345e+01	6.344887887882e-06	-2.107690418294e-02	-2.107690418294e-02	2.518346616000e-03	-5.308681158000e-05
4.124683520000e+00	-4.560827997325e+01	2.748982674310e-05	3.605265403731e-01	3.605265403731e-01	4.906003261000e-03	1.849583398000e-03
4.124683620000e+00	-5.379373484032e+01	4.174711958655e-06	2.074822701460e-01	2.074822701460e-01	1.999389743000e-03	4.208950157000e-04
4.124683720000e+00	-4.568348881274e+01	2.701787068674e-05	-1.108175629402e-02	-1.108175629402e-02	5.197552586000e-03	-5.760036898000e-05
4.124683820000e+00	-4.948500715387e+01	1.125898614269e-05	1.354297560230e-01	1.354297560230e-01	3.324716836000e-03	4.530387435000e-04
4.124683920000e+00	-4.907595032303e+01	1.237100458039e-05	3.469701616874e-01	3.469701616874e-01	3.307641916000e-03	1.196039103000e-03
4.124684020000e+00	-4.905290550991e+01	1.243682287072e-05	1.390461376478e-01	1.390461376478e-01	3.492551660000e-03	4.887798819000e-04
4.124684120000e+00	-5.030456663603e+01	9.322734933019e-06	3.147551016264e-01	3.147551016264e-01	2.903312805000e-03	9.452564146000e-04
4.124684220000e+00	-6.030621918956e+01	9.319188171931e-07	-2.332738691954e-01	-2.332738691954e-01	9.392124802000e-04	-2.231563000000e-04
4.124684320000e+00	-4.605649417062e+01	2.479422756695e-05	7.420171359850e-02	7.420171359850e-02	4.965678557000e-03	3.691395881000e-04
4.124684420000e+00	-5.025404554446e+01	9.431818731877e-06	5.348175172153e-01	5.348175172153e-01	2.642279575000e-03	1.565304245000e-03
4.124684520000e+00	-4.885861027437e+01	1.300585693869e-05	1.641595300913e-01	1.641595300913e-01	3.557879648000e-03	5.893635118000e-04
4.124684620000e+00	-4.816508770956e+01	1.525777580086e-05	-4.172329697907e-02	-4.172329697907e-02	3.902720841000e-03	-1.629289357000e-04
4.124684720000e+00	-5.324044552507e+01	4.741933371966e-06	-2.644695936104e-02	-2.644695936104e-02	2.176836567000e-03	-5.758413443000e-05
4.124684820000e+00	-5.260966664152e+01	5.483190515233e-06	2.017141976825e-01	2.017141976825e-01	2.294143986000e-03	4.691416489000e-04
4.124684920000e+00	-4.928652049879e+01	1.178549831535e-05	-6.739979461359e-03	-6.739979461359e-03	3.432923381000e-03	-2.313818345000e-05
4.124685020000e+00	-4.975083662640e+01	1.059049689826e-05	1.756065506829e-01	1.756065506829e-01	3.204255612000e-03	5.685445200000e-04
4.124685120000e+00	-4.723842704140e+01	1.888675279062e-05	-1.335559608852e-01	-1.335559608852e-01	4.307187526000e-03	-5.786954350000e-04
4.124685220000e+00	-5.028877050084e+01	9.356705274565e-06	6.406424301465e-01	6.406424301465e-01	2.452335158000e-03	1.828320964000e-03
4.124685320000e+00	-4.765343917162e+01	1.716548516540e-05	-2.925778380747e-01	-2.925778380747e-01	3.967056958000e-03	-1.194966216000e-03
4.124685420000e+00	-4.713544548400e+01	1.933995465995e-05	3.242294049788e-01	3.242294049788e-01	4.168584859000e-03	1.401019248000e-03
4.124685520000e+00	-5.055063969792e+01	8.809191076870e-06	-4.892863178212e-01	-4.892863178212e-01	2.619784985000e-03	-1.394961544000e-03
4.124685620000e+00	-4.979650087009e+01	1.047972564136e-05	-3.121363942548e-01	-3.121363942548e-01	3.080815915000e-03	-9.941322544000e-04
4.124685720000e+00	-5.316450830530e+01	4.825576106379e-06	2.774037698700e-01	2.774037698700e-01	2.112738114000e-03	6.015926928000e-04
